Timestamp,Data
2025-10-22 11:30:47.463,Sensor 2 (0x1D) - X: 0.939 Y: 0.185 Z: -0.190 | Orientation: Landscape Right
2025-10-22 11:30:47.999,Sensor 1 (0x1C) - X: 0.967 Y: 0.068 Z: -0.137 | Orientation: Landscape Right
2025-10-22 11:30:48.063,Sensor 2 (0x1D) - X: 0.943 Y: 0.189 Z: -0.197 | Orientation: Landscape Right
2025-10-22 11:30:48.600,Sensor 1 (0x1C) - X: 0.950 Y: 0.071 Z: -0.137 | Orientation: Landscape Right
2025-10-22 11:30:48.665,Sensor 2 (0x1D) - X: 0.922 Y: 0.203 Z: -0.240 | Orientation: Landscape Right
2025-10-22 11:30:49.201,Sensor 1 (0x1C) - X: -0.330 Y: -0.149 Z: 0.951 | Orientation: Flat
2025-10-22 11:30:49.244,Sensor 2 (0x1D) - X: -0.226 Y: -0.032 Z: 0.958 | Orientation: Flat
2025-10-22 11:30:49.781,Sensor 1 (0x1C) - X: -0.243 Y: -0.124 Z: 1.000 | Orientation: Flat
2025-10-22 11:30:49.823,Sensor 2 (0x1D) - X: -0.135 Y: 0.058 Z: 0.953 | Orientation: Flat
2025-10-22 11:30:50.360,Sensor 1 (0x1C) - X: -0.350 Y: -0.128 Z: 0.855 | Orientation: Flat
2025-10-22 11:30:50.402,Sensor 2 (0x1D) - X: -0.267 Y: 0.462 Z: 0.813 | Orientation: Flat
2025-10-22 11:30:50.939,Sensor 1 (0x1C) - X: -0.119 Y: -0.237 Z: 0.898 | Orientation: Flat
2025-10-22 11:30:50.982,Sensor 2 (0x1D) - X: -0.111 Y: 0.041 Z: 0.952 | Orientation: Flat
2025-10-22 11:30:51.519,Sensor 1 (0x1C) - X: -0.013 Y: 0.042 Z: 0.855 | Orientation: Flat
2025-10-22 11:30:51.570,Sensor 2 (0x1D) - X: -0.824 Y: 0.097 Z: 0.138 | Orientation: Landscape Left
2025-10-22 11:30:52.107,Sensor 1 (0x1C) - X: -0.025 Y: 0.090 Z: 1.028 | Orientation: Flat
2025-10-22 11:30:52.159,Sensor 2 (0x1D) - X: -0.931 Y: 0.105 Z: 0.120 | Orientation: Landscape Left
2025-10-22 11:30:52.696,Sensor 1 (0x1C) - X: -0.081 Y: 0.114 Z: 0.986 | Orientation: Flat
2025-10-22 11:30:52.747,Sensor 2 (0x1D) - X: -0.945 Y: 0.068 Z: 0.160 | Orientation: Landscape Left
2025-10-22 11:30:53.284,Sensor 1 (0x1C) - X: -0.084 Y: 0.100 Z: 1.011 | Orientation: Flat
2025-10-22 11:30:53.336,Sensor 2 (0x1D) - X: -1.002 Y: 0.104 Z: 0.112 | Orientation: Landscape Left
2025-10-22 11:30:53.873,Sensor 1 (0x1C) - X: 0.068 Y: 0.085 Z: 1.019 | Orientation: Flat
